               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093334,            0.059577,                   0,            0.026995,            0.024584,           0.0086912,           0.0028833,                 nan,                 nan,                   0,            0.070042,           0.0033287,           0.0033287
                   1,            0.082734,            0.060049,                   0,             0.26556,             0.23761,             0.15264,            0.048593,            0.065804,            0.032424,                   0,            0.039822,           0.0064422,           0.0064422
                   2,            0.063198,            0.056801,                   0,             0.45724,             0.45483,             0.43501,             0.16641,            0.046037,            0.030135,                   0,            0.009382,           0.0093357,           0.0093357
                   3,            0.052323,            0.053776,                   0,             0.63745,             0.60628,             0.61723,             0.27413,            0.041333,            0.026042,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.048425,            0.051762,                   0,             0.66656,             0.64731,             0.66795,             0.30528,            0.039817,            0.025067,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.045627,             0.05045,                   0,             0.70097,             0.69597,             0.72009,             0.34248,            0.037343,            0.024038,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.044155,            0.049234,                   0,             0.73331,             0.71653,             0.75722,             0.37316,            0.035884,            0.023153,                   0,             0.00835,             0.00835,             0.00835
                   7,             0.04326,             0.04881,                   0,             0.75863,             0.74045,             0.78355,             0.39309,              0.0347,            0.022711,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.042193,            0.047739,                   0,             0.77014,             0.75998,             0.80865,             0.41754,            0.034149,            0.022159,                   0,             0.00769,             0.00769,             0.00769
                   9,             0.04151,            0.047833,                   0,             0.76117,             0.77023,             0.79954,             0.41531,            0.033175,            0.022099,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.040609,            0.047311,                   0,             0.75753,             0.76333,             0.80348,             0.42098,            0.033181,            0.022344,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.040453,            0.046744,                   0,             0.76185,             0.78886,             0.81011,             0.42652,            0.032525,            0.021815,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.039659,            0.046756,                   0,             0.77815,             0.78224,             0.82376,             0.44142,              0.0322,            0.021548,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.039198,            0.045735,                   0,             0.78404,             0.79019,             0.82995,             0.44695,            0.031716,            0.021338,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.038806,            0.045427,                   0,             0.79213,             0.79822,             0.84036,             0.45871,            0.031365,            0.021452,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.038335,            0.045591,                   0,             0.78487,             0.80414,             0.84375,             0.46294,            0.031129,            0.021081,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.038073,            0.045594,                   0,             0.79911,             0.80566,             0.84704,             0.46929,            0.030697,            0.020834,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.037729,            0.044852,                   0,             0.80335,              0.8108,             0.85033,              0.4728,            0.030498,            0.021047,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.037339,            0.044165,                   0,             0.80496,             0.82167,             0.85955,             0.48338,             0.03014,            0.020673,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.037116,            0.044561,                   0,             0.80417,             0.82394,             0.86141,             0.48844,            0.030088,            0.020435,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.036881,            0.044572,                   0,             0.81362,             0.82719,             0.86969,             0.49642,            0.029996,             0.02026,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.036598,            0.044089,                   0,             0.81312,             0.81991,             0.86529,             0.49672,            0.029918,            0.020291,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.036412,            0.044098,                   0,             0.82239,             0.82999,             0.87362,             0.50153,            0.029706,            0.020292,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.036349,             0.04382,                   0,             0.82525,             0.83245,             0.87873,             0.51076,            0.029266,            0.019988,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.035749,            0.043115,                   0,             0.82579,             0.83368,             0.87597,             0.51135,            0.029262,            0.019927,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.035478,            0.043308,                   0,             0.83919,             0.83194,             0.88236,             0.51245,            0.029188,            0.019888,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.035263,            0.042573,                   0,             0.83855,             0.83733,             0.88762,             0.52139,              0.0289,            0.019731,                   0,             0.00175,             0.00175,             0.00175
                  27,             0.03491,            0.042383,                   0,             0.82913,             0.84742,             0.88591,             0.52099,            0.028791,            0.019596,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.034883,            0.042589,                   0,             0.83252,             0.84673,             0.88882,             0.52788,            0.028737,            0.019565,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.034833,            0.042875,                   0,             0.83419,             0.84818,             0.89051,             0.53282,            0.028455,            0.019489,                   0,             0.00076,             0.00076,             0.00076
