                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.02231,                 1.7643,                 3.6554,                0.27413,                0.34744,                0.20771,                0.06668,                0.01762,                 1.4679,                 3.2797,               0.070042,              0.0033287,              0.0033287
                      1,                0.01581,                 1.1906,                 2.7509,                0.57713,                0.52949,                0.54428,                0.24599,                0.01253,                 1.3737,                 2.5793,               0.039842,              0.0064622,              0.0064622
                      2,                0.01283,                 1.0397,                 2.3067,                0.64473,                0.59216,                0.62056,                0.30444,                0.01131,                 1.0065,                 2.3756,               0.009442,              0.0093956,              0.0093956
                      3,                0.01195,                 0.9655,                 2.1525,                0.68389,                 0.6394,                0.69482,                0.35574,                0.01071,                0.93077,                 2.2685,                 0.0091,                 0.0091,                 0.0091
                      4,                0.01138,                0.90772,                 2.0644,                 0.6901,                 0.6661,                0.71137,                0.37362,                0.01042,                0.92345,                 2.2231,                 0.0091,                 0.0091,                 0.0091
                      5,                0.01101,                0.86509,                 2.0223,                0.71893,                0.70179,                0.75096,                 0.4128,                0.00987,                0.80094,                 2.1366,                 0.0088,                 0.0088,                 0.0088
                      6,                0.01076,                0.83622,                 1.9892,                0.74756,                0.71201,                0.77543,                 0.4255,                0.00973,                0.76401,                 2.0875,                 0.0085,                 0.0085,                 0.0085
                      7,                 0.0106,                0.80842,                 1.9633,                0.74423,                0.73275,                0.78177,                0.43228,                0.00964,                0.75011,                 2.0858,                 0.0082,                 0.0082,                 0.0082
                      8,                0.01042,                0.78639,                 1.9372,                0.77338,                0.73402,                0.79428,                0.44859,                0.00919,                 0.7132,                  2.028,                 0.0079,                 0.0079,                 0.0079
                      9,                 0.0103,                0.77616,                 1.9297,                0.75723,                0.75045,                0.80069,                0.45327,                0.00943,                 0.6749,                 2.0446,                 0.0076,                 0.0076,                 0.0076
                     10,                 0.0102,                0.74753,                 1.9056,                0.77972,                0.74827,                0.81158,                0.47016,                0.00922,                0.65902,                 1.9961,                 0.0073,                 0.0073,                 0.0073
                     11,                0.01007,                0.74147,                 1.8936,                0.78912,                 0.7566,                0.82428,                0.48187,                0.00896,                0.66409,                 1.9779,                  0.007,                  0.007,                  0.007
                     12,                0.00995,                0.72533,                 1.8785,                0.80035,                0.76359,                0.83035,                0.48868,                0.00892,                0.63764,                 1.9721,                 0.0067,                 0.0067,                 0.0067
                     13,                0.00987,                0.71225,                 1.8542,                0.80263,                0.76728,                 0.8373,                0.49451,                0.00885,                0.62404,                 1.9613,                 0.0064,                 0.0064,                 0.0064
                     14,                0.00978,                0.70392,                 1.8504,                0.81236,                0.77093,                0.83918,                0.50228,                0.00874,                0.61735,                 1.9502,                 0.0061,                 0.0061,                 0.0061
                     15,                0.00967,                   0.69,                 1.8402,                0.81797,                0.77989,                0.85145,                0.50962,                0.00878,                0.60168,                 1.9356,                 0.0058,                 0.0058,                 0.0058
                     16,                 0.0096,                0.68487,                 1.8305,                 0.8101,                0.78712,                0.84952,                0.51008,                0.00867,                0.60017,                 1.9278,                 0.0055,                 0.0055,                 0.0055
                     17,                0.00961,                0.67683,                 1.8333,                0.81727,                0.79173,                0.85614,                0.52343,                0.00836,                0.58948,                 1.8901,                 0.0052,                 0.0052,                 0.0052
                     18,                0.00953,                0.67106,                 1.8158,                0.81454,                0.80129,                0.85974,                0.52391,                0.00855,                0.57524,                  1.888,                 0.0049,                 0.0049,                 0.0049
                     19,                0.00937,                0.65751,                  1.797,                0.82106,                0.79621,                0.86386,                0.53653,                0.00831,                0.56638,                 1.8656,                 0.0046,                 0.0046,                 0.0046
                     20,                0.00934,                0.65017,                 1.7962,                0.83015,                0.79144,                0.86275,                0.53517,                0.00842,                0.55204,                 1.8746,                 0.0043,                 0.0043,                 0.0043
                     21,                0.00928,                0.64935,                 1.7902,                0.83306,                0.79696,                0.86707,                0.53782,                0.00834,                0.55578,                 1.8662,                  0.004,                  0.004,                  0.004
                     22,                0.00924,                0.64194,                 1.7797,                0.82857,                 0.8082,                0.86952,                0.54837,                0.00811,                  0.539,                 1.8399,                 0.0037,                 0.0037,                 0.0037
                     23,                0.00918,                0.63115,                 1.7638,                0.83363,                0.80612,                0.87413,                0.55099,                0.00809,                0.53632,                 1.8359,                 0.0034,                 0.0034,                 0.0034
                     24,                0.00916,                0.62302,                 1.7631,                0.83491,                0.81426,                0.87713,                0.55949,                0.00792,                0.53023,                 1.8155,                 0.0031,                 0.0031,                 0.0031
                     25,                0.00909,                0.62112,                 1.7526,                0.83201,                0.82192,                0.87879,                0.55976,                0.00803,                0.52246,                 1.8208,                 0.0028,                 0.0028,                 0.0028
                     26,                0.00905,                0.61814,                 1.7567,                0.84029,                0.81946,                0.88149,                0.55978,                0.00806,                 0.5244,                 1.8187,                 0.0025,                 0.0025,                 0.0025
                     27,                0.00901,                0.60951,                 1.7453,                0.83952,                0.81539,                0.88403,                0.56537,                0.00795,                0.51895,                 1.8009,                 0.0022,                 0.0022,                 0.0022
                     28,                0.00898,                0.60545,                 1.7391,                0.83636,                 0.8259,                0.88604,                0.56817,                 0.0079,                 0.5117,                 1.7995,                 0.0019,                 0.0019,                 0.0019
                     29,                 0.0089,                0.60142,                  1.732,                0.84421,                0.81757,                0.88724,                0.57104,                0.00786,                0.50457,                 1.7935,                 0.0016,                 0.0016,                 0.0016
